Datum	Wtag	Sonntag	Losungsvers	Losungstext	Lehrtextvers	Lehrtext
04.10.2017	Mittwoch		Psalm 44,2	Gott, wir haben mit unsern Ohren gehört, unsre Väter haben’s uns erzählt, was du getan hast zu ihren Zeiten, vor alters.	Hebräer 11,32-34	Was soll ich noch mehr sagen? Die Zeit würde mir zu kurz, wenn ich erzählen sollte von Gideon und Barak und Simson und Jeftah und David und Samuel und den Propheten. Diese haben durch den Glauben Königreiche bezwungen, Gerechtigkeit geübt, Verheißungen erlangt, Löwen den Rachen gestopft, des Feuers Kraft gelöscht, sind der Schärfe des Schwerts entronnen, aus der Schwachheit zu Kräften gekommen.
05.10.2017	Donnerstag		Jesaja 50,9	Siehe, Gott der HERR hilft mir; wer will mich verdammen?	Römer 5,11	Wir rühmen uns Gottes durch unsern Herrn Jesus Christus, durch den wir jetzt die Versöhnung empfangen haben.
06.10.2017	Freitag		Psalm 143,8	Lass mich am Morgen hören deine Gnade; denn ich hoffe auf dich.	Johannes 21,3-4	Die Jünger stiegen in das Boot, und in dieser Nacht fingen sie nichts. Als es aber schon Morgen war, stand Jesus am Ufer.
07.10.2017	Samstag		Jesaja 30,26	Des Mondes Schein wird sein wie der Sonne Schein, und der Sonne Schein wird siebenmal heller sein zu der Zeit, wenn der HERR den Schaden seines Volks verbinden und seine Wunden heilen wird.	Offenbarung 21,3-4	Gott wird bei ihnen wohnen, und sie werden seine Völker sein, und er selbst, Gott mit ihnen, wird ihr Gott sein; und Gott wird abwischen alle Tränen von ihren Augen, und der Tod wird nicht mehr sein, noch Leid noch Geschrei noch Schmerz wird mehr sein; denn das Erste ist vergangen.
08.10.2017	Sonntag	17. Sonntag nach Trinitatis	Amos 5,15	Hasst das Böse und liebt das Gute, richtet das Recht auf im Tor, vielleicht wird der HERR, der Gott Zebaoth, gnädig sein.	Kolosser 3,8-9	Legt das alles ab: Zorn, Grimm, Bosheit, Lästerung, schandbare Worte aus eurem Munde; belügt einander nicht; denn ihr habt den alten Menschen mit seinen Werken ausgezogen.
09.10.2017	Montag		Prediger 3,1	Ein jegliches hat seine Zeit, und alles Vorhaben unter dem Himmel hat seine Stunde.	Lukas 9,33	Petrus sprach zu Jesus: Meister, hier ist für uns gut sein! Lasst uns drei Hütten bauen, dir eine, Mose eine und Elia eine. Er wusste aber nicht, was er redete.
10.10.2017	Dienstag		Daniel 4,31-32	Ich pries und ehrte den, der ewig lebt, dessen Gewalt ewig ist und dessen Reich für und für währt.	Apostelgeschichte 5,29	Man muss Gott mehr gehorchen als den Menschen.
11.10.2017	Mittwoch		Psalm 107,23.24.31	Die mit Schiffen auf dem Meere fuhren und des HERRN Werke erfahren haben und seine Wunder auf dem Meer: Die sollen dem HERRN danken für seine Güte und für seine Wunder, die er an den Menschenkindern tut.	Apostelgeschichte 17,27	Fürwahr, er ist nicht ferne von einem jeden unter uns.
12.10.2017	Donnerstag		Jeremia 29,11	Ich weiß wohl, was ich für Gedanken über euch habe, spricht der HERR: Gedanken des Friedens und nicht des Leides, dass ich euch gebe Zukunft und Hoffnung.	Kolosser 1,27-28	Gott wollte kundtun, wie reich unter den Völkern die Herrlichkeit dieses Geheimnisses ist: Christus in euch, die Hoffnung auf die Herrlichkeit. Ihn verkündigen wir.
13.10.2017	Freitag		Jesaja 61,10	Meine Seele ist fröhlich in meinem Gott; denn er hat mir die Kleider des Heils angezogen und mich mit dem Mantel der Gerechtigkeit gekleidet.	Lukas 6,21	/Jesus spricht:/ Selig seid ihr, die ihr jetzt hungert; denn ihr sollt satt werden. Selig seid ihr, die ihr jetzt weint; denn ihr werdet lachen.
14.10.2017	Samstag		5.Mose 30,14	Es ist das Wort ganz nahe bei dir, in deinem Munde und in deinem Herzen, dass du es tust.	Lukas 3,10-11	Die Menge fragte Johannes und sprach: Was sollen wir denn tun? Er antwortete aber und sprach zu ihnen: Wer zwei Hemden hat, der gebe dem, der keines hat; und wer Speise hat, tue ebenso.
15.10.2017	Sonntag	18. Sonntag nach Trinitatis	Jona 2,8	Als meine Seele in mir verzagte, gedachte ich an den HERRN, und mein Gebet kam zu dir.	Lukas 22,40	Betet, dass ihr nicht in Anfechtung fallt!
16.10.2017	Montag		Jesaja 51,6	Der Himmel wird wie ein Rauch vergehen und die Erde wie ein Kleid zerfallen, und die darauf wohnen, werden wie Mücken dahinsterben. Aber mein Heil bleibt ewiglich.	1.Thessalonicher 5,9	Gott hat uns nicht bestimmt zum Zorn, sondern dazu, die Seligkeit zu besitzen durch unsern Herrn Jesus Christus.
17.10.2017	Dienstag		Joel 3,5	Wer des HERRN Namen anrufen wird, der soll errettet werden.	Lukas 11,9	Klopfet an, so wird euch aufgetan.
18.10.2017	Mittwoch		2.Samuel 12,9	Warum hast du denn das Wort des HERRN verachtet, dass du getan hast, was ihm missfiel?	2.Timotheus 2,19	Der feste Grund Gottes besteht und hat dieses Siegel: Der Herr kennt die Seinen; und: Es lasse ab von Ungerechtigkeit, wer den Namen des Herrn nennt.
19.10.2017	Donnerstag		Psalm 92,6	HERR, wie sind deine Werke so groß! Deine Gedanken sind sehr tief.	Kolosser 2,7	Lebt verwurzelt und gegründet in Jesus Christus und fest im Glauben, wie ihr gelehrt worden seid, und voller Dankbarkeit.
20.10.2017	Freitag		1.Mose 5,2	Gott schuf sie als Mann und Frau und segnete sie und gab ihnen den Namen »Mensch«.	Römer 12,10	Einer komme dem andern mit Ehrerbietung zuvor.
21.10.2017	Samstag		Psalm 39,8	Herr, wes soll ich mich trösten? Ich hoffe auf dich.	Lukas 8,48	/Jesus sprach zu der kranken Frau:/ Meine Tochter, dein Glaube hat dir geholfen. Geh hin in Frieden!
22.10.2017	Sonntag	19. Sonntag nach Trinitatis	1.Chronik 22,16	Mach dich auf und handle! Und der HERR möge mit dir sein!	Lukas 5,5	/Simon Petrus sprach:/ Meister, wir haben die ganze Nacht gearbeitet und nichts gefangen; aber auf dein Wort will ich die Netze auswerfen.
23.10.2017	Montag		Sprüche 16,3	Befiehl dem HERRN deine Werke, so wird dein Vorhaben gelingen.	Philipper 2,13	Gott ist’s, der in euch wirkt beides, das Wollen und das Vollbringen, nach seinem Wohlgefallen.
24.10.2017	Dienstag		Jesaja 65,18	Freuet euch und seid fröhlich immerdar über das, was ich schaffe.	Offenbarung 15,3	Groß und wunderbar sind deine Werke, Herr, allmächtiger Gott! Gerecht und wahrhaftig sind deine Wege, du König der Völker.
25.10.2017	Mittwoch		Klagelieder 3,26	Es ist ein köstlich Ding, geduldig sein und auf die Hilfe des HERRN hoffen.	Hebräer 10,23	Lasst uns festhalten an dem Bekenntnis der Hoffnung und nicht wanken; denn er ist treu, der sie verheißen hat.
26.10.2017	Donnerstag		Jesaja 56,1	Wahrt das Recht und übt Gerechtigkeit; denn mein Heil ist nahe, dass es komme, und meine Gerechtigkeit, dass sie offenbart werde.	Philipper 2,4	Ein jeder sehe nicht auf das Seine, sondern auch auf das, was dem andern dient.
27.10.2017	Freitag		Jesaja 2,5	Kommt nun, lasst uns wandeln im Licht des HERRN!	1.Thessalonicher 5,5	Ihr alle seid Kinder des Lichtes und Kinder des Tages. Wir sind nicht von der Nacht noch von der Finsternis.
28.10.2017	Samstag		Jesaja 48,20	Mit fröhlichem Schall verkündigt dies und lasst es hören, tragt’s hinaus bis an die Enden der Erde und sprecht: Der Herr hat seinen Knecht Jakob erlöst.	Matthäus 24,14	Es wird gepredigt werden dies Evangelium vom Reich in der ganzen Welt zum Zeugnis für alle Völker, und dann wird das Ende kommen.
29.10.2017	Sonntag	20. Sonntag nach Trinitatis	Amos 7,14-15	Amos sprach: Ich bin ein Rinderhirt, der Maulbeerfeigen ritzt. Aber der HERR nahm mich von der Herde und sprach zu mir: Geh hin und weissage meinem Volk Israel!	1.Korinther 14,3	Wer prophetisch redet, der redet den Menschen zur Erbauung und zur Ermahnung und zur Tröstung.
30.10.2017	Montag		Hesekiel 36,11	Ich will euch mehr Gutes tun als je zuvor, und ihr sollt erfahren, dass ich der HERR bin.	Römer 8,32	Gott hat seinen eigenen Sohn nicht verschont, sondern hat ihn für uns alle dahingegeben – wie sollte er uns mit ihm nicht alles schenken?
31.10.2017	Dienstag	Reformationstag	Psalm 34,15	Lass ab vom Bösen und tue Gutes; suche Frieden und jage ihm nach.	Römer 15,7	Nehmt einander an, wie Christus euch angenommen hat zu Gottes Ehre.
01.11.2017	Mittwoch		Hiob 13,9	Meint ihr, dass ihr Gott täuschen werdet, wie man einen Menschen täuscht?	Hebräer 4,12	Das Wort Gottes ist lebendig und kräftig und schärfer als jedes zweischneidige Schwert und dringt durch, bis es scheidet Seele und Geist, auch Mark und Bein, und ist ein Richter der Gedanken und Sinne des Herzens.
02.11.2017	Donnerstag		Jesaja 35,4	Sagt den verzagten Herzen: »Seid getrost, fürchtet euch nicht! Seht, da ist euer Gott!«	1.Timotheus 1,15	Das ist gewisslich wahr und ein teuer wertes Wort: Christus Jesus ist in die Welt gekommen, die Sünder selig zu machen.
03.11.2017	Freitag		Psalm 10,1	HERR, warum stehst du so ferne, verbirgst dich zur Zeit der Not?	Markus 15,34	/Jesus rief laut am Kreuz:/ Mein Gott, mein Gott, warum hast du mich verlassen?
04.11.2017	Samstag		Psalm 21,14	HERR, erhebe dich in deiner Kraft, so wollen wir singen und loben deine Macht.	Lukas 6,45	Wovon das Herz voll ist, davon redet der Mund!
05.11.2017	Sonntag	21. Sonntag nach Trinitatis	Nehemia 9,17	Du bist ein Gott der Vergebung, gnädig und barmherzig, langmütig und reich an Güte.	Kolosser 3,13	Wie der Herr euch vergeben hat, so vergebt auch ihr!
06.11.2017	Montag		Psalm 145,3	Der HERR ist groß und sehr zu loben, und seine Größe ist unausforschlich.	Kolosser 2,9-10	In Christus wohnt die ganze Fülle der Gottheit leibhaftig, und ihr seid erfüllt durch ihn, der das Haupt aller Mächte und Gewalten ist.
07.11.2017	Dienstag		1.Könige 20,11	Wer den Harnisch anlegt, soll sich nicht rühmen wie der, der ihn abgelegt hat.	Jakobus 1,19-20	Ein jeder Mensch sei schnell zum Hören, langsam zum Reden, langsam zum Zorn. Denn des Menschen Zorn tut nicht, was vor Gott recht ist.
08.11.2017	Mittwoch		Jeremia 14,21	HERR, gedenke doch an deinen Bund mit uns und lass ihn nicht aufhören!	Lukas 1,69.72	Gott hat uns aufgerichtet ein Horn des Heils im Hause seines Dieners David, dass er Barmherzigkeit erzeigte unsern Vätern und gedächte an seinen heiligen Bund.
09.11.2017	Donnerstag		Jesaja 61,1.2	Der HERR hat mich gesandt, zu verkündigen ein gnädiges Jahr des HERRN und einen Tag der Vergeltung unseres Gottes.	Markus 1,15	/Jesus spricht:/ Die Zeit ist erfüllt, und das Reich Gottes ist nahe herbeigekommen. Tut Buße und glaubt an das Evangelium!
10.11.2017	Freitag		Jeremia 8,21.22	/Jeremia sprach:/ Mich jammert von Herzen, dass die Tochter meines Volks so zerschlagen ist. Ist denn keine Salbe in Gilead, oder ist kein Arzt da?	Lukas 5,31-32	/Jesus spricht:/ Die Gesunden bedürfen des Arztes nicht, sondern die Kranken. Ich bin nicht gekommen, Gerechte zu rufen, sondern Sünder zur Buße.
11.11.2017	Samstag		Sacharja 2,9	Ich selbst will, spricht der HERR, eine feurige Mauer rings um Jerusalem her sein.	Matthäus 16,18	/Jesus spricht:/ Die Pforten der Hölle sollen meine Gemeinde nicht überwältigen.
12.11.2017	Sonntag	Drittletzter Sonntag des Kirchenjahres	3.Mose 19,17	Du sollst deinen Bruder nicht hassen in deinem Herzen, sondern du sollst deinen Nächsten zurechtweisen, damit du nicht seinetwegen Schuld auf dich lädst.	1.Thessalonicher 5,14	Weist die Nachlässigen zurecht, tröstet die Kleinmütigen, tragt die Schwachen, seid geduldig mit jedermann.
13.11.2017	Montag		Psalm 25,17	Die Angst meines Herzens ist groß; führe mich aus meinen Nöten!	Philipper 4,7	Der Friede Gottes, der höher ist als alle Vernunft, wird eure Herzen und Sinne in Christus Jesus bewahren.
14.11.2017	Dienstag		Jesaja 47,13-14	Es sollen hertreten und dir helfen die Sterngucker, die an jedem Neumond kundtun, was über dich kommen werde! Siehe, sie sind wie Stoppeln, die das Feuer verbrennt.	3.Johannes 1,4	Ich habe keine größere Freude als die, zu hören, dass meine Kinder in der Wahrheit wandeln.
15.11.2017	Mittwoch		1.Könige 8,61	Euer Herz sei ungeteilt bei dem HERRN, unserm Gott.	1.Korinther 6,17	Wer dem Herrn anhängt, der ist  e i n  Geist mit ihm.
16.11.2017	Donnerstag		Jesaja 60,3	Nationen werden zu deinem Licht gehen und Könige zu deinem strahlenden Lichtglanz.	Lukas 13,30	Siehe, es sind Letzte, die werden die Ersten sein, und sind Erste, die werden die Letzten sein.
17.11.2017	Freitag		Jesaja 26,19	Deine Toten werden leben.	Offenbarung 14,13	Selig sind die Toten, die in dem Herrn sterben von nun an. Ja, der Geist spricht, dass sie ruhen von ihren Mühen.
18.11.2017	Samstag		Jesaja 9,1	Das Volk, das im Finstern wandelt, sieht ein großes Licht, und über denen, die da wohnen im finstern Lande, scheint es hell.	Titus 2,14	Jesus Christus hat sich selbst für uns gegeben, damit er uns erlöste von aller Ungerechtigkeit und reinigte sich selbst ein Volk zum Eigentum, das eifrig wäre zu guten Werken.
19.11.2017	Sonntag	Vorletzter Sonntag des Kirchenjahres	5.Mose 2,7	Der HERR, dein Gott, hat dich gesegnet in allen Werken deiner Hände.	1.Korinther 3,7	So ist nun weder der etwas, der pflanzt, noch der begießt, sondern Gott, der das Gedeihen gibt.
20.11.2017	Montag		5.Mose 4,2	Ihr sollt nichts dazutun zu dem, was ich euch gebiete, und sollt auch nichts davontun, auf dass ihr bewahrt die Gebote des HERRN, eures Gottes.	Lukas 8,21	Jesus sprach zu ihnen: Meine Mutter und meine Brüder sind diese, die Gottes Wort hören und tun.
21.11.2017	Dienstag		Psalm 112,5	Wohl dem, der barmherzig ist und gerne leiht und das Seine tut, wie es recht ist!	Lukas 6,31	Wie ihr wollt, dass euch die Leute tun sollen, so tut ihnen auch!
22.11.2017	Mittwoch	Buß- und Bettag	Psalm 28,9	Hilf deinem Volk und segne dein Erbe und weide und trage sie ewiglich!	Johannes 10,16	/Jesus spricht:/ Ich habe noch andere Schafe, die sind nicht aus diesem Stall; auch sie muss ich herführen, und sie werden meine Stimme hören, und es wird  e i n e  Herde und  e i n  Hirte werden.
23.11.2017	Donnerstag		Psalm 119,52	HERR, wenn ich an deine ewigen Ordnungen denke, so werde ich getröstet.	Lukas 10,39	Maria setzte sich dem Herrn zu Füßen und hörte seiner Rede zu.
24.11.2017	Freitag		Psalm 9,19	Der HERR wird den Armen nicht für immer vergessen; die Hoffnung der Elenden wird nicht verloren sein ewiglich.	1.Thessalonicher 4,17-18	Wir werden beim Herrn sein allezeit. So tröstet euch mit diesen Worten untereinander.
25.11.2017	Samstag		Josua 23,11	Achtet ernstlich darauf um eures Lebens willen, dass ihr den HERRN, euren Gott, lieb habt.	1.Johannes 4,16	Gott ist Liebe; und wer in der Liebe bleibt, der bleibt in Gott und Gott in ihm.
26.11.2017	Sonntag	Letzter Sonntag des Kirchenjahres (Ewigkeitssonntag)	2.Chronik 20,12	Wir wissen nicht, was wir tun sollen, sondern unsere Augen sehen nach dir.	Hebräer 12,2	Lasst uns aufsehen zu Jesus, dem Anfänger und Vollender des Glaubens.
27.11.2017	Montag		1.Samuel 2,8	Der Welt Grundfesten sind des HERRN, und er hat die Erde darauf gesetzt.	Hebräer 1,2-3	Gott hat den Sohn eingesetzt zum Erben über alles, durch den er auch die Welt gemacht hat. Er ist der Abglanz seiner Herrlichkeit und das Ebenbild seines Wesens und trägt alle Dinge mit seinem kräftigen Wort.
28.11.2017	Dienstag		1.Mose 4,7	Ist’s nicht so: Wenn du fromm bist, so kannst du frei den Blick erheben. Bist du aber nicht fromm, so lauert die Sünde vor der Tür, und nach dir hat sie Verlangen; du aber herrsche über sie.	Römer 6,18	Befreit von der Sünde, seid ihr in den Dienst der Gerechtigkeit gestellt worden.
29.11.2017	Mittwoch		Jeremia 7,3	Bessert euer Leben und euer Tun, so will ich euch wohnen lassen an diesem Ort.	Apostelgeschichte 2,45-47	Sie verkauften Güter und Habe und teilten sie aus unter alle, je nachdem es einer nötig hatte. Und sie waren täglich einmütig beieinander im Tempel und brachen das Brot hier und dort in den Häusern, hielten die Mahlzeiten mit Freude und lauterem Herzen und lobten Gott und fanden Wohlwollen beim ganzen Volk.
30.11.2017	Donnerstag		2.Mose 33,17	Der HERR sprach zu Mose: Du hast Gnade vor meinen Augen gefunden, und ich kenne dich mit Namen.	Lukas 1,28	Der Engel kam zu Maria hinein und sprach: Sei gegrüßt, du Begnadete! Der Herr ist mit dir!
01.12.2017	Freitag		Sprüche 16,18	Wer zugrunde gehen soll, der wird zuvor stolz; und Hochmut kommt vor dem Fall.	Galater 6,3-4	Wenn jemand meint, er sei etwas, obwohl er doch nichts ist, der betrügt sich selbst. Ein jeder aber prüfe sein eigenes Werk; und dann wird er seinen Ruhm bei sich selbst haben.
02.12.2017	Samstag		Jeremia 25,5	Bekehrt euch, ein jeder von seinem bösen Wege und von euren bösen Werken.	Lukas 3,8	Bringt Früchte, die der Umkehr entsprechen!
03.12.2017	Sonntag	1. Sonntag im Advent	Jesaja 42,10	Singet dem HERRN ein neues Lied, seinen Ruhm an den Enden der Erde.	Lukas 1,67-68	Zacharias wurde vom Heiligen Geist erfüllt, weissagte und sprach: Gelobt sei der Herr, der Gott Israels! Denn er hat besucht und erlöst sein Volk.
04.12.2017	Montag		Jesaja 65,17	Siehe, ich will einen neuen Himmel und eine neue Erde schaffen, dass man der vorigen nicht mehr gedenken wird.	Lukas 12,36	Seid gleich den Menschen, die auf ihren Herrn warten.
05.12.2017	Dienstag		5.Mose 32,46.47	/Mose sprach:/ Nehmt zu Herzen alle Worte, die ich euch heute bezeuge. Denn es ist nicht ein leeres Wort an euch, sondern es ist euer Leben.	Johannes 1,6.8	Es war ein Mensch, von Gott gesandt, der hieß Johannes. Er war nicht das Licht, sondern er sollte zeugen von dem Licht.
06.12.2017	Mittwoch		Hesekiel 34,22	Ich will meiner Herde helfen, dass sie nicht mehr zum Raub werden soll.	Epheser 5,25	Christus hat die Gemeinde geliebt und hat sich selbst für sie dahingegeben.
07.12.2017	Donnerstag		Psalm 119,64	HERR, die Erde ist voll deiner Güte; lehre mich deine Gebote.	1.Petrus 4,10	Dient einander – ein jeder mit der Gabe, die er empfangen hat – als gute Haushalter der vielfältigen Gnade Gottes.
08.12.2017	Freitag		Psalm 51,14	Erfreue mich wieder mit deiner Hilfe, und mit einem willigen Geist rüste mich aus.	Lukas 17,5	Die Apostel sprachen zu dem Herrn: Stärke uns den Glauben!
09.12.2017	Samstag		Sprüche 3,34	Den Demütigen wird der HERR Gnade geben.	Philipper 2,5	Seid so unter euch gesinnt, wie es auch der Gemeinschaft in Christus Jesus entspricht.
10.12.2017	Sonntag	2. Sonntag im Advent	1.Mose 13,8	Abram sprach zu Lot: Lass doch nicht Zank sein zwischen mir und dir und zwischen meinen und deinen Hirten; denn wir sind Brüder.	1.Korinther 12,20	Es sind viele Glieder, aber der Leib ist einer.
11.12.2017	Montag		4.Mose 6,24	Der HERR segne dich und behüte dich.	1.Petrus 3,9	Segnet, weil ihr dazu berufen seid, auf dass ihr Segen erbt.
12.12.2017	Dienstag		Psalm 119,172	Meine Zunge soll singen von deinem Wort; denn alle deine Gebote sind gerecht.	Kolosser 3,16	Lasst das Wort Christi reichlich unter euch wohnen: Lehrt und ermahnt einander in aller Weisheit; mit Psalmen, Lobgesängen und geistlichen Liedern singt Gott dankbar in euren Herzen.
13.12.2017	Mittwoch		Hesekiel 20,12	Ich gab ihnen meine Sabbate zum Zeichen zwischen mir und ihnen.	2.Timotheus 1,14	Bewahre das kostbare, dir anvertraute Gut in der Kraft des heiligen Geistes, der in uns wohnt.
14.12.2017	Donnerstag		1.Mose 3,9-10	Gott der HERR rief Adam und sprach zu ihm: Wo bist du? Und er sprach: Ich hörte dich im Garten und fürchtete mich; denn ich bin nackt.	Galater 4,6	Weil ihr nun Kinder seid, hat Gott den Geist seines Sohnes gesandt in unsre Herzen, der da ruft: Abba, lieber Vater!
15.12.2017	Freitag		Jesaja 54,4	Fürchte dich nicht, denn du sollst nicht zuschanden werden.	Hebräer 11,27	Durch den Glauben verließ Mose Ägypten und fürchtete nicht den Zorn des Königs; denn er hielt sich an den, den er nicht sah, als sähe er ihn.
16.12.2017	Samstag		Micha 2,1	Weh denen, die Unheil planen, weil sie die Macht haben!	Markus 10,42-43	Jesus rief sie zu sich und sprach zu ihnen: Ihr wisst, die als Herrscher gelten, halten ihre Völker nieder, und ihre Mächtigen tun ihnen Gewalt an. Aber so ist es unter euch nicht; sondern wer groß sein will unter euch, der soll euer Diener sein.
17.12.2017	Sonntag	3. Sonntag im Advent	1.Könige 2,1-2.3	Als die Zeit herbeikam, dass David sterben sollte, gebot er seinem Sohn Salomo und sprach: Ich gehe hin den Weg aller Welt. So sei getrost und diene dem HERRN, deinem Gott.	Kolosser 1,9-10	/Paulus schreibt:/ Wir lassen nicht ab, für euch zu beten und zu bitten, dass ihr erfüllt werdet mit der Erkenntnis seines Willens in aller geistlichen Weisheit und Einsicht, dass ihr, des Herrn würdig, ihm ganz zu Gefallen lebt und Frucht bringt in jedem guten Werk.
18.12.2017	Montag		Psalm 105,8	Er gedenkt ewiglich an seinen Bund, an das Wort, das er verheißen hat für tausend Geschlechter.	Römer 15,4	Was zuvor geschrieben ist, das ist uns zur Lehre geschrieben, damit wir durch Geduld und den Trost der Schrift Hoffnung haben.
19.12.2017	Dienstag		Josua 14,8	Kaleb sprach zu Josua: Meine Brüder machten dem Volk das Herz verzagt, ich aber folgte dem HERRN, meinem Gott, treulich.	Lukas 21,19	Seid standhaft und ihr werdet euer Leben gewinnen.
20.12.2017	Mittwoch		Daniel 2,28	Es ist ein Gott im Himmel, der Geheimnisse offenbart.	Lukas 17,20-21	Das Reich Gottes kommt nicht so, dass man’s beobachten kann; man wird auch nicht sagen: Siehe, hier!, oder: Da ist es! Denn siehe, das Reich Gottes ist mitten unter euch.
21.12.2017	Donnerstag		Psalm 119,166	HERR, ich warte auf dein Heil.	Lukas 2,26-27.28	Simeon war vom Heiligen Geist geweissagt worden, er solle den Tod nicht sehen, er habe denn zuvor den Christus des Herrn gesehen. Und er kam vom Geist geführt in den Tempel. Da nahm er das Kind Jesus auf seine Arme und lobte Gott.
22.12.2017	Freitag		Josua 22,29	Das sei ferne von uns, dass wir uns auflehnen gegen den HERRN und uns heute von ihm abwenden.	Lukas 24,32-33	/Die Jünger in Emmaus sprachen:/ Brannte nicht unser Herz in uns, da er mit uns redete auf dem Wege und uns die Schrift öffnete? Und sie standen auf zu derselben Stunde und kehrten zurück nach Jerusalem.
23.12.2017	Samstag		1.Mose 28,15	/Der Herr sprach zu Jakob:/ Siehe, ich bin mit dir und will dich behüten, wo du hinziehst, und will dich wieder herbringen in dies Land.	2.Petrus 1,19	Eine umso festere Grundlage haben wir im prophetischen Wort, und ihr tut gut daran, darauf zu achten, wie auf ein Licht, das an einem dunklen Ort scheint, bis der Tag anbricht und der Morgenstern aufgeht in euren Herzen.
24.12.2017	Sonntag	4. Sonntag im Advent	Jeremia 35,14	So spricht der HERR: Ich habe zu euch gesprochen, immer wieder mit Eifer gesprochen, ihr aber habt nicht auf mich gehört!	Hebräer 1,1-2	Nachdem Gott vorzeiten vielfach und auf vielerlei Weise geredet hat zu den Vätern durch die Propheten, hat er zuletzt in diesen Tagen zu uns geredet durch den Sohn.
25.12.2017	Montag	Weihnachtsfest	5.Mose 4,24	Der HERR, dein Gott, ist ein verzehrendes Feuer und ein eifernder Gott.	1.Johannes 4,10	Darin besteht die Liebe: nicht dass wir Gott geliebt haben, sondern dass er uns geliebt hat und gesandt seinen Sohn zur Versöhnung für unsre Sünden.
26.12.2017	Dienstag	2. Weihnachtstag	Psalm 105,7	Er ist der HERR, unser Gott; er richtet in aller Welt.	Johannes 3,19	Das ist aber das Gericht, dass das Licht in die Welt gekommen ist.
27.12.2017	Mittwoch		Jesaja 42,3	Das geknickte Rohr wird er nicht zerbrechen, und den glimmenden Docht wird er nicht auslöschen.	Lukas 2,12	Das habt zum Zeichen: Ihr werdet finden das Kind in Windeln gewickelt und in einer Krippe liegen.
28.12.2017	Donnerstag		Jesaja 11,1	Es wird ein Reis hervorgehen aus dem Stamm Isais und ein Zweig aus seiner Wurzel Frucht bringen.	Galater 4,4-5	Als die Zeit erfüllt war, sandte Gott seinen Sohn, geboren von einer Frau und unter das Gesetz getan, auf dass er die, die unter dem Gesetz waren, loskaufte, damit wir die Kindschaft empfingen.
29.12.2017	Freitag		Jesaja 57,15	Ich wohne in der Höhe und im Heiligtum und bei denen, die zerschlagenen und demütigen Geistes sind, auf dass ich erquicke den Geist der Gedemütigten und das Herz der Zerschlagenen.	Matthäus 11,5	Armen wird das Evangelium gepredigt.
30.12.2017	Samstag		Psalm 103,15-16.17	Ein Mensch ist in seinem Leben wie Gras, er blüht wie eine Blume auf dem Felde; wenn der Wind darüber geht, so ist sie nimmer da. Die Gnade aber des HERRN währt von Ewigkeit zu Ewigkeit.	Johannes 1,16	Von seiner Fülle haben wir alle genommen Gnade um Gnade.
31.12.2017	Sonntag	Altjahresabend	2.Mose 3,7	Der HERR sprach: Ich habe das Elend meines Volks in Ägypten gesehen, und ihr Geschrei über ihre Bedränger habe ich gehört.	Johannes 3,16	Also hat Gott die Welt geliebt, dass er seinen eingeborenen Sohn gab, auf dass alle, die an ihn glauben, nicht verloren werden, sondern das ewige Leben haben.
